Framework,Horizon,Our IS,Paper IS,IS Diff,IS % Diff,Our OOS,Paper OOS,OOS Diff,OOS % Diff
BS+NN Indep,same-day,2.587811315996005,2.818,-0.23018868400399528,-8.168512562242558,2.6368468548551687,3.219,-0.5821531451448312,-18.0849066525266
BS+NN Seq,same-day,1.5906301780226872,2.298,-0.7073698219773128,-30.781976587350425,1.713596846723842,2.826,-1.112403153276158,-39.36316890573808
Heston+NN Indep,same-day,1.7854271267039825,2.789,-1.0035728732960176,-35.98325110419569,1.818298575353535,2.867,-1.048701424646465,-36.57835453946512
Heston+NN Seq,same-day,1.3295338995411328,2.233,-0.9034661004588673,-40.45974475856997,1.3868523608385621,2.366,-0.979147639161438,-41.384092948496956
Pure NN Seq,same-day,1.6071142494174484,2.213,-0.6058857505825517,-27.378479465998716,1.7235649083454132,2.345,-0.621435091654587,-26.50043034774358
HestonFeature Seq,same-day,0.8013777810151201,,,,0.8633524571609166,,,
BS+NN Indep,1-day-ahead,2.2925358346642244,2.685,-0.39246416533577566,-14.616914910084756,2.819305907799422,4.051,-1.2316940922005783,-30.404692475946142
BS+NN Seq,1-day-ahead,1.6319586090374196,2.275,-0.6430413909625803,-28.265555646706826,2.1736242992331514,3.408,-1.2343757007668485,-36.21994427132771
Heston+NN Indep,1-day-ahead,1.6054082663008669,2.6,-0.9945917336991332,-38.25352821919743,2.0710581798901124,3.519,-1.4479418201098877,-41.14640011679135
Heston+NN Seq,1-day-ahead,1.3609969038522378,2.184,-0.8230030961477623,-37.68329194815762,1.7528932246448812,2.927,-1.1741067753551189,-40.11297490109733
Pure NN Seq,1-day-ahead,1.5799872100650405,2.172,-0.5920127899349596,-27.256574122235712,2.210283416547524,2.901,-0.6907165834524758,-23.80960301456311
HestonFeature Seq,1-day-ahead,0.7791278414418787,,,,1.6396279935489497,,,
BS+NN Indep,5-day-ahead,2.3007714395446905,2.685,-0.3842285604553095,-14.310188471333687,3.100191937210378,4.813,-1.7128080627896218,-35.587119526067355
BS+NN Seq,5-day-ahead,1.6111160224946774,2.275,-0.6638839775053225,-29.18171329693725,2.468832862309776,4.104,-1.6351671376902241,-39.843253842354386
Heston+NN Indep,5-day-ahead,1.6062114043621625,2.6,-0.9937885956378376,-38.222638293762984,2.306758595469854,5.341,-3.034241404530146,-56.810361440369704
Heston+NN Seq,5-day-ahead,1.3547318913161146,2.184,-0.8292681086838856,-37.9701514965149,1.9763733499570297,3.766,-1.7896266500429703,-47.52062267772093
Pure NN Seq,5-day-ahead,1.595863680238041,2.172,-0.5761363197619591,-26.52561324870898,2.691041922742438,3.68,-0.9889580772575624,-26.873860795042454
HestonFeature Seq,5-day-ahead,0.7364167324456149,,,,2.300031230882511,,,
