panel,framework,Call ITM,Call ATM,Call OTM,Put ITM,Put ATM,Put OTM,Avg,Call ITM (paper),Call ATM (paper),Call OTM (paper),Put ITM (paper),Put ATM (paper),Put OTM (paper)
Panel A: Same day (R-splitting),BS+NN Indep,2.358108026395349,1.53692092137261,2.4169731281111324,3.651356201521705,1.4079681036714375,2.286976045387284,2.276383737743253,,,,,,
Panel A: Same day (R-splitting),BS+NN Seq,1.935746254495382,0.6022359466034242,1.5104195182241644,1.3592945116912711,0.5557225931649399,1.9322981481428299,1.3159528287203353,3.622,1.128,2.654,2.429,1.038,2.999
Panel A: Same day (R-splitting),Heston+NN Indep,1.80248078781205,0.8846131289303972,1.3701912617162904,2.6055473919497287,0.9402852239715713,1.3834506513727145,1.4977614076254586,,,,,,
Panel A: Same day (R-splitting),Heston+NN Seq,1.6232847924981204,0.7482150786693117,1.214066875510666,1.2372059581993706,0.7662687164524906,1.3015951780110873,1.1484394332235077,2.407,0.786,2.64,2.519,0.804,2.743
Panel A: Same day (R-splitting),Pure NN Seq,1.9627043218436708,0.6332838731010891,1.4936811342686587,1.3543582312029787,0.5759549274995978,1.946618660427076,1.3277668580571786,2.456,0.805,2.571,2.42,0.732,2.725
Panel A: Same day (R-splitting),HestonFeature Seq,0.9276919995929374,0.5475067220443256,0.8721381823250491,0.9400241471975699,0.5452633286400641,0.7894636056996455,0.7703479975832653,,,,,,
Panel B: One day ahead,BS+NN Indep,2.8594726046437846,1.686929741104888,2.36695093386392,3.404152565253393,1.5571085890136633,2.427628971571924,2.3837072342419288,,,,,,
Panel B: One day ahead,BS+NN Seq,2.49511458171357,1.0829974661402442,1.6712314681056872,1.749755613345624,1.026380829548249,2.210501364349541,1.705996887200486,,,,,,
Panel B: One day ahead,Heston+NN Indep,2.36302987906029,0.9334314824984364,1.4414292563496844,2.529192241959804,0.9634251170074873,1.5122011977800753,1.6237848624426297,,,,,,
Panel B: One day ahead,Heston+NN Seq,2.14056635354583,0.8872002697000035,1.3697764173974882,1.6104362394238847,0.8495016611049334,1.4805576998258245,1.3896731068329942,,,,,,
Panel B: One day ahead,Pure NN Seq,2.5310790977348736,1.171874631780713,1.7270768787985258,1.7119215320803904,1.1235574116660234,2.2673086119993138,1.7554696940099734,,,,,,
Panel B: One day ahead,HestonFeature Seq,1.938468630175335,0.7833437979326351,1.205377118584464,1.7297861878516891,0.7675601840507178,1.1808246303528063,1.2675600914912746,,,,,,
Panel C: Five days ahead,BS+NN Indep,3.183040135470804,2.0943563656974984,2.561008815702478,3.5959706308521566,1.962918223273497,2.701843834633345,2.6831896676049634,,,,,,
Panel C: Five days ahead,BS+NN Seq,2.755943940864493,1.575546863278361,1.8503770705773925,1.950307423975458,1.5233669410470354,2.5391150210389903,2.032442876796955,,,,,,
Panel C: Five days ahead,Heston+NN Indep,2.722347145565945,1.0033660060512628,1.5118972328213556,2.723530936012891,1.0415902908072703,1.6076804898425499,1.7684020168502126,,,,,,
Panel C: Five days ahead,Heston+NN Seq,2.437385274629362,0.9577696535345591,1.4722650094061187,1.8438192949356322,0.9264402840604896,1.5818850874426365,1.5365941006681327,,,,,,
Panel C: Five days ahead,Pure NN Seq,2.9602099591525413,1.951985904966868,2.079601777988304,2.036578211594741,1.9055772763218795,2.804413347661507,2.2897277462809735,,,,,,
Panel C: Five days ahead,HestonFeature Seq,2.6979896500968152,1.2913789888373952,1.6428790380282146,2.3438082042301196,1.2858999996580105,1.7380531858816752,1.8333348444553719,,,,,,
