,tau_74d,tau_181d,tau_288d,tau_396d,tau_503d,tau_611d,tau_718d,tau_826d,tau_933d,tau_1040d
m_0.840,13330.0,10807.0,5130.0,4373.0,4839.0,5358.0,4463.0,3393.0,3477.0,4114.0
m_0.920,103740.0,24040.0,6831.0,5142.0,6275.0,6979.0,6251.0,3834.0,3823.0,3813.0
m_1.000,220802.0,23051.0,8070.0,6166.0,6881.0,6719.0,5599.0,3316.0,3336.0,3227.0
m_1.080,185958.0,18954.0,6598.0,5795.0,6051.0,5777.0,4812.0,2858.0,2846.0,2794.0
m_1.160,122927.0,14781.0,5209.0,5040.0,5209.0,5012.0,4156.0,2475.0,2482.0,2403.0
m_1.240,62023.0,9951.0,4562.0,4356.0,4523.0,4359.0,3583.0,2168.0,2158.0,2102.0
m_1.320,34667.0,6999.0,4045.0,3764.0,4013.0,3707.0,3084.0,1908.0,1911.0,1862.0
m_1.400,23531.0,5690.0,3516.0,3222.0,3447.0,3203.0,2713.0,1693.0,1681.0,1601.0
m_1.480,18295.0,4759.0,3075.0,2886.0,3014.0,2899.0,2429.0,1500.0,1440.0,1404.0
m_1.560,14326.0,4134.0,2631.0,2589.0,2708.0,2549.0,2124.0,1245.0,1214.0,1167.0
