,tau_74d,tau_181d,tau_288d,tau_396d,tau_503d,tau_611d,tau_718d,tau_826d,tau_933d,tau_1040d
m_0.840,81772.0,20508.0,6714.0,6186.0,7181.0,7551.0,6035.0,4126.0,4524.0,4499.0
m_0.920,192419.0,25915.0,8565.0,6508.0,7094.0,7719.0,6433.0,3914.0,3924.0,3823.0
m_1.000,223808.0,23050.0,7779.0,5922.0,6603.0,6668.0,5574.0,3293.0,3326.0,3223.0
m_1.080,172468.0,18953.0,5698.0,4646.0,5213.0,5244.0,4372.0,2754.0,2656.0,2736.0
m_1.160,102842.0,14602.0,4243.0,3338.0,3869.0,3909.0,3437.0,2205.0,2017.0,2159.0
m_1.240,45854.0,9223.0,3701.0,2792.0,3063.0,2935.0,2630.0,1756.0,1541.0,1744.0
m_1.320,22680.0,6020.0,3220.0,2375.0,2658.0,2354.0,2008.0,1315.0,1191.0,1417.0
m_1.400,13324.0,4505.0,2719.0,2018.0,2257.0,2018.0,1738.0,1098.0,996.0,1123.0
m_1.480,8590.0,3643.0,2260.0,1792.0,1953.0,1822.0,1544.0,960.0,812.0,922.0
m_1.560,5595.0,3114.0,1838.0,1620.0,1745.0,1601.0,1331.0,796.0,650.0,737.0
