approach,window,param,corr,rmse,var_explained,resid_slope
init-1,w0400,kappa,0.15722233619413623,0.5703246320113057,0.024189442363506508,-0.9759610981376814
init-1,w0400,theta,0.5806873372985527,0.11771424356189393,0.33488112940725356,-0.6568017092285696
init-1,w0400,xi,0.2496447659106095,0.13983734260887548,0.06138484538022315,-0.9379821218286074
init-1,w0400,rho,0.1681226529260108,0.2704374121502094,0.02754933331188192,-0.9707960436742289
init-1,w0400,v0,0.72543434190184,0.08968864246675723,0.5233154022204559,-0.48519299717688713
init-1,w2000,kappa,0.1811555646715546,0.5681582653493216,0.03158855654574999,-0.9671869480129888
init-1,w2000,theta,0.7024051384778471,0.10277101947629885,0.4930296426785058,-0.49765160443345646
init-1,w2000,xi,0.20523444803544014,0.1413856607646601,0.04048455664674189,-0.9584309166402345
init-1,w2000,rho,0.11297976832182763,0.2725746661855518,0.012118134344620612,-0.9869964684619513
init-1,w2000,v0,0.5216925646733555,0.11081798455437508,0.27225921773666883,-0.72456662823885
init-100,w0400,kappa,0.028877352779896708,0.577263174775371,0.0003016811447785761,-0.9990638561557655
init-100,w0400,theta,0.23842208846378524,0.14020297506161916,0.056470037625808045,-0.9440916763465823
init-100,w0400,xi,0.061890924741813465,0.14407996458953504,0.003566262586159996,-0.9959892180987541
init-100,w0400,rho,0.050843264806272236,0.27386318706983326,0.0027561852802683307,-0.997448168490106
init-100,w0400,v0,0.33471946539316716,0.12240147327168656,0.11217062761010987,-0.8872730962645508
init-100,w2000,kappa,0.013522998370360315,0.57762774006355,-0.0009614182727717413,-0.9994735913868908
init-100,w2000,theta,0.36217970870464067,0.13459902166331364,0.13038896162938374,-0.8661391132787793
init-100,w2000,xi,0.04362794172367499,0.14423504339701138,0.001420108300588141,-0.9974393184238858
init-100,w2000,rho,0.014993893845006155,0.2742669742466295,-0.00018667916766323955,-0.9994064645428788
init-100,w2000,v0,0.05897084587389707,0.12967523314812526,0.003516083435813888,-0.9957766108272181
log-returns,w0400,kappa,0.24540634471196335,0.5603112970965611,0.058153751037907875,-0.9299770114825111
log-returns,w0400,theta,0.6844740802153146,0.10530779549976879,0.46769287393498626,-0.5140434633282036
log-returns,w0400,xi,0.4134816726639526,0.13196812183362178,0.16405191134590547,-0.7966727562651911
log-returns,w0400,rho,0.24342391529462892,0.26628815308378107,0.05716059205179558,-0.9315046721301138
log-returns,w0400,v0,0.8944330654702387,0.05810196508935132,0.7999503201633067,-0.19173098596365595
log-returns,w2000,kappa,0.2626593028118158,0.5924340109526984,-0.052934172000505875,-0.8399888063231629
log-returns,w2000,theta,0.8340589370632036,0.07981155648038366,0.6942455417045695,-0.2737615283295982
log-returns,w2000,xi,0.24215803210518042,0.14926839613074488,-0.06949059600535845,-0.854946009931702
log-returns,w2000,rho,0.16029805934621671,0.2747055364584109,-0.003387901530016446,-0.9476501145140866
log-returns,w2000,v0,0.8612350574944885,0.06620683343597623,0.7402462344522016,-0.22571107715207536
