Comparison C: per-parameter fit statistics
(corr and VE across all test rows; resid_slope ~ -1 => regression to the mean / no signal)

   approach window param  corr   rmse var_explained resid_slope
     init-1  w0400 kappa 0.157 0.5703          2.4%      -0.976
     init-1  w0400 theta 0.581 0.1177         33.5%      -0.657
     init-1  w0400    xi 0.250 0.1398          6.1%      -0.938
     init-1  w0400   rho 0.168 0.2704          2.8%      -0.971
     init-1  w0400    v0 0.725 0.0897         52.3%      -0.485
     init-1  w2000 kappa 0.181 0.5682          3.2%      -0.967
     init-1  w2000 theta 0.702 0.1028         49.3%      -0.498
     init-1  w2000    xi 0.205 0.1414          4.0%      -0.958
     init-1  w2000   rho 0.113 0.2726          1.2%      -0.987
     init-1  w2000    v0 0.522 0.1108         27.2%      -0.725
   init-100  w0400 kappa 0.029 0.5773          0.0%      -0.999
   init-100  w0400 theta 0.238 0.1402          5.6%      -0.944
   init-100  w0400    xi 0.062 0.1441          0.4%      -0.996
   init-100  w0400   rho 0.051 0.2739          0.3%      -0.997
   init-100  w0400    v0 0.335 0.1224         11.2%      -0.887
   init-100  w2000 kappa 0.014 0.5776         -0.1%      -0.999
   init-100  w2000 theta 0.362 0.1346         13.0%      -0.866
   init-100  w2000    xi 0.044 0.1442          0.1%      -0.997
   init-100  w2000   rho 0.015 0.2743         -0.0%      -0.999
   init-100  w2000    v0 0.059 0.1297          0.4%      -0.996
log-returns  w0400 kappa 0.245 0.5603          5.8%      -0.930
log-returns  w0400 theta 0.684 0.1053         46.8%      -0.514
log-returns  w0400    xi 0.413 0.1320         16.4%      -0.797
log-returns  w0400   rho 0.243 0.2663          5.7%      -0.932
log-returns  w0400    v0 0.894 0.0581         80.0%      -0.192
log-returns  w2000 kappa 0.263 0.5924         -5.3%      -0.840
log-returns  w2000 theta 0.834 0.0798         69.4%      -0.274
log-returns  w2000    xi 0.242 0.1493         -6.9%      -0.855
log-returns  w2000   rho 0.160 0.2747         -0.3%      -0.948
log-returns  w2000    v0 0.861 0.0662         74.0%      -0.226
