framework,final_train_mse,final_test_mse
"sqret/dt, init-1, shallow, w0504",0.04768046869187128,0.04885769352213542
"sqret/dt, init-1, cnn, w0504",0.05011935888090588,0.05023586794704861
"sqret/dt, init-1, complex, w0504",0.04966448620024182,0.05058116246202257
"sqret, init-1, shallow, w0504",0.05316582169596354,0.053281076687282984
"sqret/dt, init-100, cnn, w0504",0.0538132025844029,0.053911782687717014
"sqret, init-1, complex, w0504",0.0559805955578032,0.05603691137695312
"sqret/dt, init-1, shallow, w0252",0.05608598849051339,0.05701279286024306
"sqret/dt, init-100, shallow, w0504",0.05729685713704427,0.05735091031901041
"sqret/dt, init-1, cnn, w0252",0.05756361881510417,0.05767305183919271
"sqret/dt, init-1, complex, w0252",0.05745684665643601,0.05815653716362847
"sqret, init-1, shallow, w0252",0.05843548792085194,0.05852788536241319
"sqret/dt, init-100, cnn, w0252",0.06085715399460565,0.06094943511284722
"sqret, init-1, complex, w0252",0.06166465757533482,0.06173051030815972
"sqret/dt, init-100, shallow, w0252",0.06277929543340774,0.06280964073350695
"sqret/dt, init-100, complex, w0504",0.06523480997721354,0.06527519715711806
"sqret/dt, init-100, complex, w0252",0.06666319167945499,0.06670111420355902
"sqret, init-100, complex, w0504",0.07758268815104166,0.07761229237196181
"sqret, init-100, shallow, w0252",0.0818672349562872,0.08190029584418403
"sqret, init-100, complex, w0252",0.0833298952171689,0.08334234581163194
"sqret, init-100, shallow, w0504",0.08332989526367188,0.083343390625
