dt,init,complexity,window,kappa_rmse,theta_rmse,xi_rmse,rho_rmse,v0_rmse
sqret/dt,init-1,shallow,w0504,0.5522517561912537,0.09786912053823471,0.10657592862844467,0.25046485662460327,0.05471881106495857
sqret/dt,init-1,cnn,w0504,0.5501915812492371,0.10043265670537949,0.11368498206138611,0.2390928417444229,0.06382471323013306
sqret/dt,init-1,complex,w0504,0.55424964427948,0.1012662872672081,0.10895007103681564,0.2503392994403839,0.06065420061349869
sqret,init-1,shallow,w0504,0.5552089810371399,0.0984717607498169,0.12054727971553802,0.26366493105888367,0.055840324610471725
sqret/dt,init-100,cnn,w0504,0.5543970465660095,0.10368184000253677,0.12252933531999588,0.2377060204744339,0.07402188330888748
sqret,init-1,complex,w0504,0.5580812692642212,0.10406740754842758,0.12693025171756744,0.2634347975254059,0.05980165675282478
sqret/dt,init-1,shallow,w0252,0.5608241558074951,0.11385108530521393,0.1262422800064087,0.2612842321395874,0.05546421930193901
sqret/dt,init-100,shallow,w0504,0.5613552331924438,0.09993037581443787,0.1291123926639557,0.2741740643978119,0.06047076731920242
sqret/dt,init-1,cnn,w0252,0.5605028867721558,0.11435339599847794,0.1275898665189743,0.2554861307144165,0.06376048922538757
sqret/dt,init-1,complex,w0252,0.5620368719100952,0.11491488665342331,0.12733815610408783,0.2615498900413513,0.06092613562941551
sqret,init-1,shallow,w0252,0.5612430572509766,0.11425308138132095,0.13035228848457336,0.26572665572166443,0.055970486253499985
sqret/dt,init-100,cnn,w0252,0.5628086924552917,0.11662253737449646,0.13107874989509583,0.2553713321685791,0.07816166430711746
sqret,init-1,complex,w0252,0.5649715662002563,0.11637044697999954,0.13360828161239624,0.26703155040740967,0.07010769098997116
sqret/dt,init-100,shallow,w0252,0.5659795999526978,0.11648283153772354,0.1400023102760315,0.274135023355484,0.06040852144360542
sqret/dt,init-100,complex,w0504,0.5694302320480347,0.11934670060873032,0.12495343387126923,0.2737070620059967,0.09317975491285324
sqret/dt,init-100,complex,w0252,0.5676010847091675,0.12025880813598633,0.136818990111351,0.2708817422389984,0.08879067748785019
sqret,init-100,complex,w0504,0.5773468017578125,0.1288052350282669,0.14357472956180573,0.2741177976131439,0.12129391729831696
sqret,init-100,shallow,w0252,0.5775189995765686,0.1442665010690689,0.14435236155986786,0.2742144763469696,0.12422015517950058
sqret,init-100,complex,w0252,0.5774930119514465,0.14434979856014252,0.14435608685016632,0.2742139995098114,0.12989209592342377
sqret,init-100,shallow,w0504,0.5775115489959717,0.14434964954853058,0.1443563550710678,0.2742127776145935,0.12989243865013123
