dt,init,complexity,window,kappa_VE,theta_VE,xi_VE,rho_VE,v0_VE,mean_VE
sqret/dt,init-1,shallow,w0504,0.08505399335102859,0.5402384917634794,0.45479542897526415,0.16588173645673476,0.8225689905562885,0.4137077282205591
sqret/dt,init-1,cnn,w0504,0.09186767176739274,0.5158375104207711,0.3796347929777115,0.23990621198771878,0.7586018359165203,0.39716960461402284
sqret/dt,init-1,complex,w0504,0.07842199544821005,0.5077666750295338,0.4302343370114958,0.16671780816440296,0.781989211729627,0.3930260054766539
sqret,init-1,shallow,w0504,0.07522896212710284,0.5345589920718795,0.3024809609528242,0.07564504105991077,0.8152212235494606,0.36062703595223555
sqret/dt,init-100,cnn,w0504,0.07793174427665794,0.48400365057704164,0.2793549753299206,0.24869825369805665,0.6753043431943968,0.3530585934152147
sqret,init-1,complex,w0504,0.06563589068930775,0.48015878493517505,0.22665813754791864,0.07725793842989581,0.7880747762736193,0.3275571055751833
sqret/dt,init-1,shallow,w0252,0.056428798788431545,0.37782065799159537,0.23501856346160843,0.09226216113320174,0.817701948280084,0.3158464259309842
sqret/dt,init-100,shallow,w0504,0.05464090650237108,0.5206681595000902,0.19983952290824925,0.0004908464698215598,0.783305854804556,0.3117890580370176
sqret/dt,init-1,cnn,w0252,0.057509541760240035,0.37231843953353405,0.21859964616017546,0.13210198797885098,0.7590874082215844,0.307923404730877
sqret/dt,init-1,complex,w0252,0.052343663840545784,0.36613930362068203,0.22167971200052627,0.09041535759809916,0.7800299850231743,0.3021216044166055
sqret,init-1,shallow,w0252,0.05501869206273147,0.3734192029539162,0.1843974825680592,0.061132557637407436,0.8143587951731419,0.2976653460790512
sqret/dt,init-100,cnn,w0252,0.04973912709029482,0.3471608212640407,0.1752813436450682,0.1328817645178314,0.6379706211994951,0.268606735543346
sqret,init-1,complex,w0252,0.04242138815568841,0.34998011534440565,0.14314370005996602,0.05188898952263754,0.7087355060180573,0.25923393982015097
sqret/dt,init-100,shallow,w0252,0.03900127731215286,0.3487239979338074,0.05916894963394281,0.0007754766079323128,0.7837517355257757,0.24628428740272224
sqret/dt,init-100,complex,w0504,0.02724763248916451,0.31630552258288447,0.25055868946136084,0.0038928869767820284,0.48548345329662834,0.21669763696136402
sqret/dt,init-100,complex,w0252,0.03348702591092978,0.3058153151541776,0.10146706935568184,0.024351225106678975,0.5328127757776935,0.19958668226103232
sqret,init-100,complex,w0504,1.2011500075792547e-05,0.20364214860702057,0.010542257500209096,0.0009010486212006619,0.12816507415875844,0.0686525080774529
sqret,init-100,shallow,w0252,-0.0005845846157617185,0.0009844801258406255,-0.00020500581971871767,0.00019617899289414709,0.08559129168478807,0.01719647207360848
sqret,init-100,complex,w0252,-0.0004945365582604833,-0.00016948852897846756,-0.0002566309132521205,0.0001996561484741699,0.00018035061452337242,-0.0001081298474987058
sqret,init-100,shallow,w0504,-0.0005587676711795719,-0.00016742358961208126,-0.00026034797140184196,0.00020856633204857644,0.00017507446055697873,-0.00012057968791758799
